Time Period,Measure Type,Measure,Group,Subgroup,Estimate Type,Estimate,Standard Error,Lower 95% CI,Upper 95% CI,Reliable
Jan.-Jun. 2022,Diagnosis Chapter,Infectious and parasitic diseases,By age,45-64 years old,Visit count,738000,132000,479000,997000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Infectious and parasitic diseases,By age,45-64 years old,"Visit rate (per 1,000 people)",8.9,1.6,5.8,12,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Infectious and parasitic diseases,By age,65+ years old,Visit count,288000,61000,170000,407000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Infectious and parasitic diseases,By age,65+ years old,"Visit rate (per 1,000 people)",5.3,1.1,3.1,7.4,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Infectious and parasitic diseases,By race/ethnicity,"Black, non-Hispanic",Visit count,529000,166000,204000,853000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Infectious and parasitic diseases,By race/ethnicity,"Black, non-Hispanic","Visit rate (per 1,000 people)",13,4,5.1,20.9,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Infectious and parasitic diseases,By race/ethnicity,Hispanic,Visit count,711000,166000,386000,1036000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Infectious and parasitic diseases,By race/ethnicity,Hispanic,"Visit rate (per 1,000 people)",11.5,2.6,6.4,16.6,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Infectious and parasitic diseases,By race/ethnicity,"Other, non-Hispanic",Visit count,,,,,No
Jan.-Jun. 2022,Diagnosis Chapter,Infectious and parasitic diseases,By race/ethnicity,"Other, non-Hispanic","Visit rate (per 1,000 people)",,,,,No
Jan.-Jun. 2022,Diagnosis Chapter,Infectious and parasitic diseases,By race/ethnicity,"White, non-Hispanic",Visit count,868000,204000,468000,1269000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Infectious and parasitic diseases,By race/ethnicity,"White, non-Hispanic","Visit rate (per 1,000 people)",4.5,1,2.5,6.5,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Infectious and parasitic diseases,By sex,Female,Visit count,1416000,281000,865000,1967000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Infectious and parasitic diseases,By sex,Female,"Visit rate (per 1,000 people)",8.5,1.7,5.2,11.8,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Infectious and parasitic diseases,By sex,Male,Visit count,959000,170000,626000,1292000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Infectious and parasitic diseases,By sex,Male,"Visit rate (per 1,000 people)",6,1.1,3.9,8,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Abnormal growths and tumors,Total,All visits,Visit count,843000,211000,430000,1255000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Abnormal growths and tumors,Total,All visits,"Visit rate (per 1,000 people)",2.6,0.6,1.3,3.8,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Abnormal growths and tumors,By age,0-17 years old,Visit count,50000,16000,18000,81000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Abnormal growths and tumors,By age,0-17 years old,"Visit rate (per 1,000 people)",0.7,0.2,0.3,1.1,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Abnormal growths and tumors,By age,18-44 years old,Visit count,173000,49000,77000,270000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Abnormal growths and tumors,By age,18-44 years old,"Visit rate (per 1,000 people)",1.5,0.4,0.7,2.3,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Abnormal growths and tumors,By age,45-64 years old,Visit count,341000,82000,180000,502000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Abnormal growths and tumors,By age,45-64 years old,"Visit rate (per 1,000 people)",4.1,1,2.2,6.1,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Abnormal growths and tumors,By age,65+ years old,Visit count,279000,73000,136000,422000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Abnormal growths and tumors,By age,65+ years old,"Visit rate (per 1,000 people)",5.1,1.3,2.5,7.7,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Abnormal growths and tumors,By race/ethnicity,"Black, non-Hispanic",Visit count,,,,,No
Jan.-Jun. 2022,Diagnosis Chapter,Abnormal growths and tumors,By race/ethnicity,"Black, non-Hispanic","Visit rate (per 1,000 people)",,,,,No
Jan.-Jun. 2022,Diagnosis Chapter,Abnormal growths and tumors,By race/ethnicity,Hispanic,Visit count,207000,73000,63000,350000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Abnormal growths and tumors,By race/ethnicity,Hispanic,"Visit rate (per 1,000 people)",3.3,1.2,1,5.6,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Abnormal growths and tumors,By race/ethnicity,"Other, non-Hispanic",Visit count,,,,,No
Jan.-Jun. 2022,Diagnosis Chapter,Abnormal growths and tumors,By race/ethnicity,"Other, non-Hispanic","Visit rate (per 1,000 people)",,,,,No
Jan.-Jun. 2022,Diagnosis Chapter,Abnormal growths and tumors,By race/ethnicity,"White, non-Hispanic",Visit count,386000,113000,164000,608000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Abnormal growths and tumors,By race/ethnicity,"White, non-Hispanic","Visit rate (per 1,000 people)",2,0.6,0.9,3.1,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Abnormal growths and tumors,By sex,Female,Visit count,572000,155000,268000,875000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Abnormal growths and tumors,By sex,Female,"Visit rate (per 1,000 people)",3.4,0.9,1.6,5.3,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Abnormal growths and tumors,By sex,Male,Visit count,271000,60000,153000,389000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Abnormal growths and tumors,By sex,Male,"Visit rate (per 1,000 people)",1.7,0.4,1,2.4,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Blood-related and immune system diseases,Total,All visits,Visit count,1620000,352000,931000,2310000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Blood-related and immune system diseases,Total,All visits,"Visit rate (per 1,000 people)",5,1.1,2.8,7.1,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Blood-related and immune system diseases,By age,0-17 years old,Visit count,188000,57000,76000,299000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Blood-related and immune system diseases,By age,0-17 years old,"Visit rate (per 1,000 people)",2.6,0.8,1,4.1,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Blood-related and immune system diseases,By age,18-44 years old,Visit count,535000,137000,267000,804000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Blood-related and immune system diseases,By age,18-44 years old,"Visit rate (per 1,000 people)",4.6,1.2,2.3,6.9,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Blood-related and immune system diseases,By age,45-64 years old,Visit count,545000,105000,339000,751000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Blood-related and immune system diseases,By age,45-64 years old,"Visit rate (per 1,000 people)",6.6,1.3,4.1,9.1,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Blood-related and immune system diseases,By age,65+ years old,Visit count,352000,77000,200000,504000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Blood-related and immune system diseases,By age,65+ years old,"Visit rate (per 1,000 people)",6.4,1.4,3.7,9.2,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Blood-related and immune system diseases,By race/ethnicity,"Black, non-Hispanic",Visit count,,,,,No
Jan.-Jun. 2022,Diagnosis Chapter,Blood-related and immune system diseases,By race/ethnicity,"Black, non-Hispanic","Visit rate (per 1,000 people)",,,,,No
Jan.-Jun. 2022,Diagnosis Chapter,Blood-related and immune system diseases,By race/ethnicity,Hispanic,Visit count,462000,128000,211000,714000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Blood-related and immune system diseases,By race/ethnicity,Hispanic,"Visit rate (per 1,000 people)",7.5,2,3.5,11.4,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Blood-related and immune system diseases,By race/ethnicity,"Other, non-Hispanic",Visit count,,,,,No
Jan.-Jun. 2022,Diagnosis Chapter,Blood-related and immune system diseases,By race/ethnicity,"Other, non-Hispanic","Visit rate (per 1,000 people)",,,,,No
Jan.-Jun. 2022,Diagnosis Chapter,Blood-related and immune system diseases,By race/ethnicity,"White, non-Hispanic",Visit count,535000,132000,277000,793000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Blood-related and immune system diseases,By race/ethnicity,"White, non-Hispanic","Visit rate (per 1,000 people)",2.8,0.7,1.4,4.1,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Blood-related and immune system diseases,By sex,Female,Visit count,1171000,265000,651000,1691000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Blood-related and immune system diseases,By sex,Female,"Visit rate (per 1,000 people)",7,1.6,3.9,10.2,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Blood-related and immune system diseases,By sex,Male,Visit count,449000,91000,271000,627000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Blood-related and immune system diseases,By sex,Male,"Visit rate (per 1,000 people)",2.8,0.6,1.7,3.9,Yes
Jan.-Jun. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",Total,All visits,Visit count,12607000,2297000,8105000,17108000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",Total,All visits,"Visit rate (per 1,000 people)",38.5,7,24.8,52.3,Yes
Jan.-Jun. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",By age,0-17 years old,Visit count,640000,159000,328000,951000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",By age,0-17 years old,"Visit rate (per 1,000 people)",8.7,2.2,4.5,13,Yes
Jan.-Jun. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",By age,18-44 years old,Visit count,3512000,654000,2230000,4794000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",By age,18-44 years old,"Visit rate (per 1,000 people)",30.2,5.6,19.2,41.2,Yes
Jan.-Jun. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",By age,45-64 years old,Visit count,5326000,952000,3460000,7192000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",By age,45-64 years old,"Visit rate (per 1,000 people)",64.3,11.5,41.8,86.9,Yes
Jan.-Jun. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",By age,65+ years old,Visit count,3129000,684000,1788000,4469000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",By age,65+ years old,"Visit rate (per 1,000 people)",57.2,12.5,32.7,81.7,Yes
Jan.-Jun. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",By race/ethnicity,"Black, non-Hispanic",Visit count,,,,,No
Jan.-Jun. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",By race/ethnicity,"Black, non-Hispanic","Visit rate (per 1,000 people)",,,,,No
Jan.-Jun. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",By race/ethnicity,Hispanic,Visit count,3838000,959000,1959000,5717000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",By race/ethnicity,Hispanic,"Visit rate (per 1,000 people)",61.9,15.1,32.2,91.6,Yes
Jan.-Jun. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",By race/ethnicity,"Other, non-Hispanic",Visit count,,,,,No
Jan.-Jun. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",By race/ethnicity,"Other, non-Hispanic","Visit rate (per 1,000 people)",,,,,No
Jan.-Jun. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",By race/ethnicity,"White, non-Hispanic",Visit count,4893000,1051000,2833000,6953000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",By race/ethnicity,"White, non-Hispanic","Visit rate (per 1,000 people)",25.2,5.2,14.9,35.5,Yes
Jan.-Jun. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",By sex,Female,Visit count,7850000,1476000,4958000,10742000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",By sex,Female,"Visit rate (per 1,000 people)",47.2,8.9,29.8,64.6,Yes
Jan.-Jun. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",By sex,Male,Visit count,4754000,836000,3117000,6392000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",By sex,Male,"Visit rate (per 1,000 people)",29.5,5.2,19.4,39.7,Yes
Jan.-Jun. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",Total,All visits,Visit count,10728000,1961000,6883000,14572000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",Total,All visits,"Visit rate (per 1,000 people)",32.8,6,21,44.5,Yes
Jan.-Jun. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",By age,0-17 years old,Visit count,1422000,294000,845000,1999000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",By age,0-17 years old,"Visit rate (per 1,000 people)",19.4,4,11.5,27.2,Yes
Jan.-Jun. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",By age,18-44 years old,Visit count,4674000,886000,2939000,6410000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",By age,18-44 years old,"Visit rate (per 1,000 people)",40.2,7.6,25.3,55.1,Yes
Jan.-Jun. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",By age,45-64 years old,Visit count,3412000,615000,2206000,4617000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",By age,45-64 years old,"Visit rate (per 1,000 people)",41.2,7.4,26.7,55.8,Yes
Jan.-Jun. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",By age,65+ years old,Visit count,1219000,226000,776000,1663000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",By age,65+ years old,"Visit rate (per 1,000 people)",22.3,4.1,14.2,30.4,Yes
Jan.-Jun. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",By race/ethnicity,"Black, non-Hispanic",Visit count,1566000,471000,643000,2489000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",By race/ethnicity,"Black, non-Hispanic","Visit rate (per 1,000 people)",38.5,11.3,16.5,60.6,Yes
Jan.-Jun. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",By race/ethnicity,Hispanic,Visit count,2062000,545000,993000,3131000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",By race/ethnicity,Hispanic,"Visit rate (per 1,000 people)",33.3,8.5,16.5,50,Yes
Jan.-Jun. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",By race/ethnicity,"Other, non-Hispanic",Visit count,326000,108000,115000,538000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",By race/ethnicity,"Other, non-Hispanic","Visit rate (per 1,000 people)",10.7,3.5,3.8,17.6,Yes
Jan.-Jun. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",By race/ethnicity,"White, non-Hispanic",Visit count,5955000,1325000,3357000,8553000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",By race/ethnicity,"White, non-Hispanic","Visit rate (per 1,000 people)",30.7,6.5,17.9,43.4,Yes
Jan.-Jun. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",By sex,Female,Visit count,6600000,1189000,4269000,8931000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",By sex,Female,"Visit rate (per 1,000 people)",39.7,7.2,25.7,53.7,Yes
Jan.-Jun. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",By sex,Male,Visit count,4124000,805000,2546000,5703000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",By sex,Male,"Visit rate (per 1,000 people)",25.6,5,15.8,35.4,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Diseases of the nervous system,Total,All visits,Visit count,3404000,695000,2041000,4766000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Diseases of the nervous system,Total,All visits,"Visit rate (per 1,000 people)",10.4,2.1,6.2,14.6,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Diseases of the nervous system,By age,0-17 years old,Visit count,109000,24000,63000,155000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Diseases of the nervous system,By age,0-17 years old,"Visit rate (per 1,000 people)",1.5,0.3,0.9,2.1,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Diseases of the nervous system,By age,18-44 years old,Visit count,1081000,240000,609000,1552000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Diseases of the nervous system,By age,18-44 years old,"Visit rate (per 1,000 people)",9.3,2.1,5.2,13.3,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Diseases of the nervous system,By age,45-64 years old,Visit count,1448000,288000,883000,2013000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Diseases of the nervous system,By age,45-64 years old,"Visit rate (per 1,000 people)",17.5,3.5,10.7,24.3,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Diseases of the nervous system,By age,65+ years old,Visit count,766000,168000,437000,1095000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Diseases of the nervous system,By age,65+ years old,"Visit rate (per 1,000 people)",14,3.1,8,20,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Diseases of the nervous system,By race/ethnicity,"Black, non-Hispanic",Visit count,556000,189000,185000,926000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Diseases of the nervous system,By race/ethnicity,"Black, non-Hispanic","Visit rate (per 1,000 people)",13.7,4.6,4.7,22.7,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Diseases of the nervous system,By race/ethnicity,Hispanic,Visit count,727000,229000,278000,1177000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Diseases of the nervous system,By race/ethnicity,Hispanic,"Visit rate (per 1,000 people)",11.7,3.7,4.6,18.9,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Diseases of the nervous system,By race/ethnicity,"Other, non-Hispanic",Visit count,99000,34000,33000,165000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Diseases of the nervous system,By race/ethnicity,"Other, non-Hispanic","Visit rate (per 1,000 people)",3.3,1.1,1.1,5.4,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Diseases of the nervous system,By race/ethnicity,"White, non-Hispanic",Visit count,1831000,436000,976000,2686000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Diseases of the nervous system,By race/ethnicity,"White, non-Hispanic","Visit rate (per 1,000 people)",9.4,2.2,5.1,13.7,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Diseases of the nervous system,By sex,Female,Visit count,2210000,463000,1302000,3118000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Diseases of the nervous system,By sex,Female,"Visit rate (per 1,000 people)",13.3,2.8,7.8,18.8,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Diseases of the nervous system,By sex,Male,Visit count,1193000,241000,721000,1666000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Diseases of the nervous system,By sex,Male,"Visit rate (per 1,000 people)",7.4,1.5,4.5,10.4,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Eye and related diseases,Total,All visits,Visit count,1642000,414000,831000,2453000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Eye and related diseases,Total,All visits,"Visit rate (per 1,000 people)",5,1.3,2.5,7.5,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Eye and related diseases,By age,0-17 years old,Visit count,455000,117000,226000,684000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Eye and related diseases,By age,0-17 years old,"Visit rate (per 1,000 people)",6.2,1.6,3.1,9.3,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Eye and related diseases,By age,18-44 years old,Visit count,380000,111000,162000,597000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Eye and related diseases,By age,18-44 years old,"Visit rate (per 1,000 people)",3.3,1,1.4,5.1,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Eye and related diseases,By age,45-64 years old,Visit count,498000,131000,241000,755000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Eye and related diseases,By age,45-64 years old,"Visit rate (per 1,000 people)",6,1.6,2.9,9.1,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Eye and related diseases,By age,65+ years old,Visit count,309000,72000,168000,449000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Eye and related diseases,By age,65+ years old,"Visit rate (per 1,000 people)",5.6,1.3,3.1,8.2,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Eye and related diseases,By race/ethnicity,"Black, non-Hispanic",Visit count,289000,107000,79000,499000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Eye and related diseases,By race/ethnicity,"Black, non-Hispanic","Visit rate (per 1,000 people)",7.1,2.6,2,12.2,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Eye and related diseases,By race/ethnicity,Hispanic,Visit count,599000,185000,236000,961000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Eye and related diseases,By race/ethnicity,Hispanic,"Visit rate (per 1,000 people)",9.7,2.9,3.9,15.4,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Eye and related diseases,By race/ethnicity,"Other, non-Hispanic",Visit count,,,,,No
Jan.-Jun. 2022,Diagnosis Chapter,Eye and related diseases,By race/ethnicity,"Other, non-Hispanic","Visit rate (per 1,000 people)",,,,,No
Jan.-Jun. 2022,Diagnosis Chapter,Eye and related diseases,By race/ethnicity,"White, non-Hispanic",Visit count,395000,101000,197000,593000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Eye and related diseases,By race/ethnicity,"White, non-Hispanic","Visit rate (per 1,000 people)",2,0.5,1,3,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Eye and related diseases,By sex,Female,Visit count,978000,252000,483000,1472000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Eye and related diseases,By sex,Female,"Visit rate (per 1,000 people)",5.9,1.5,2.9,8.9,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Eye and related diseases,By sex,Male,Visit count,664000,162000,346000,982000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Eye and related diseases,By sex,Male,"Visit rate (per 1,000 people)",4.1,1,2.2,6.1,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Ear and related diseases,Total,All visits,Visit count,1130000,213000,712000,1547000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Ear and related diseases,Total,All visits,"Visit rate (per 1,000 people)",3.5,0.7,2.2,4.7,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Ear and related diseases,By age,0-17 years old,Visit count,373000,95000,186000,560000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Ear and related diseases,By age,0-17 years old,"Visit rate (per 1,000 people)",5.1,1.3,2.5,7.6,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Ear and related diseases,By age,18-44 years old,Visit count,263000,51000,164000,362000,Yes
Jan.-Jun. 2022,Diagnosis Chapter,Ear and related diseases,By age,18-44 years old,"Visit rate (per 1,000 people)",2.3,0.4,1.4,3.1,Yes
